removal_date,ticker
2026-05-07,CTRA
2026-04-09,HOLX
2026-03-23,MTCH
2026-03-23,MOH
2026-03-23,LW
2026-03-23,PAYC
2026-02-09,DAY
2025-12-22,LKQ
2025-12-22,MHK
2025-12-11,K
2025-11-28,IPG
2025-11-04,EMN
2025-10-31,KMX
2025-09-22,ENPH
2025-09-22,CZR
2025-09-22,MKTX
2025-08-28,WBA
2025-07-23,HES
2025-07-18,ANSS
2025-07-09,JNPR
2025-05-19,DFS
2025-03-24,BWA
2025-03-24,TFX
2025-03-24,CE
2025-03-24,FMC
2024-12-23,QRVO
2024-12-23,CTLT
2024-11-26,MRO
2024-10-01,BBWI
2024-09-23,AAL
2024-09-23,ETSY
2024-09-23,BIO
2024-06-24,RHI
2024-06-24,CMA
2024-06-24,ILMN
2024-05-08,PXD
2024-04-03,XRAY
2024-04-03,VFC
2024-03-18,WHR
2024-03-18,ZION
2023-12-18,SEE
2023-12-18,ALK
2023-12-18,SEDG
2023-10-18,OGN
2023-10-18,ATVI
2023-10-03,DXC
2023-09-18,LNC
2023-09-18,NWL
2023-08-25,AAP
2023-06-20,DISH
2023-05-04,FRC
2023-03-20,LUMN
2023-03-15,SBNY
2023-03-15,SIVB
2023-01-05,VNO
2022-12-22,ABMD
2022-12-19,FBHS
2022-11-01,TWTR
2022-10-12,NLSN
2022-10-03,CTXS
2022-10-03,DRE
2022-09-19,PVH
2022-09-19,PENN
2022-06-21,UA
2022-06-21,UAA
2022-06-21,IPGP
2022-06-08,CERN
2022-04-11,DISCA
2022-04-11,DISCK
2022-04-04,PBCT
2022-03-02,INFO
2022-02-15,XLNX
2022-02-03,GPS
2021-12-20,LEG
2021-12-20,HBI
2021-12-20,WU
2021-12-14,KSU
2021-09-20,PRGO
2021-09-20,UNM
2021-09-20,NOV
2021-08-30,MXIM
2021-07-21,ALXN
2021-06-04,HFC
2021-05-14,FLIR
2021-04-20,VAR
2021-03-22,FLS
2021-03-22,SLG
2021-03-22,XRX
2021-02-12,FTI
2021-01-21,CXO
2021-01-07,TIF
2020-12-21,AIV
2020-10-12,NBL
2020-10-07,ETFC
2020-09-21,HRB
2020-09-21,COTY
2020-09-21,KSS
2020-06-22,ADS
2020-06-22,HOG
2020-06-22,JWN
2020-05-22,HP
2020-05-12,CPRI
2020-05-12,AGN
2020-04-06,M
2020-04-06,RTN
