ticker,removal_date
MTCH,2026-03-23
MOH,2026-03-23
LW,2026-03-23
PAYC,2026-03-23
LKQ,2025-12-22
MHK,2025-12-22
EMN,2025-11-04
KMX,2025-10-31
ENPH,2025-09-22
CZR,2025-09-22
MKTX,2025-09-22
BWA,2025-03-24
TFX,2025-03-24
CE,2025-03-24
FMC,2025-03-24
QRVO,2024-12-23
BBWI,2024-10-01
AAL,2024-09-23
ETSY,2024-09-23
BIO,2024-09-23
RHI,2024-06-24
ILMN,2024-06-24
XRAY,2024-04-03
VFC,2024-04-03
WHR,2024-03-18
ZION,2024-03-18
ALK,2023-12-18
SEDG,2023-12-18
OGN,2023-10-18
DXC,2023-10-03
LNC,2023-09-18
NWL,2023-09-18
AAP,2023-08-25
LUMN,2023-03-20
VNO,2023-01-05
PVH,2022-09-19
PENN,2022-09-19
UA,2022-06-21
UAA,2022-06-21
IPGP,2022-06-21
LEG,2021-12-20
WU,2021-12-20
PRGO,2021-09-20
UNM,2021-09-20
NOV,2021-09-20
FLS,2021-03-22
SLG,2021-03-22
XRX,2021-03-22
FTI,2021-02-12
AIV,2020-12-21
HRB,2020-09-21
COTY,2020-09-21
KSS,2020-09-21
HOG,2020-06-22
HP,2020-05-22
CPRI,2020-05-12
M,2020-04-06
